dP,m,n,esc,pfil,ps,A,Cs,t,V,lm,km0,gx,meio
2.00E+05,0.81,0.30,0.510,1.08E+03,2808,2.29E-03,1.33E-04,60,3.40E-06,6.35E-03,1.48E-11,0.2,50
2.00E+05,0.81,0.30,0.510,1.08E+03,2808,2.29E-03,1.33E-04,300,7.73E-06,6.35E-03,1.48E-11,0.2,50
2.00E+05,0.81,0.30,0.510,1.08E+03,2808,2.29E-03,1.33E-04,600,1.07E-05,6.35E-03,1.48E-11,0.2,50
2.00E+05,0.81,0.30,0.510,1.08E+03,2808,2.29E-03,1.33E-04,900,1.28E-05,6.35E-03,1.48E-11,0.2,50
2.00E+05,0.81,0.30,0.510,1.08E+03,2808,2.29E-03,1.33E-04,1200,1.43E-05,6.35E-03,1.48E-11,0.2,50
2.00E+05,0.81,0.30,0.510,1.08E+03,2808,2.29E-03,1.33E-04,1500,1.55E-05,6.35E-03,1.48E-11,0.2,50
2.00E+05,0.81,0.30,0.510,1.08E+03,2808,2.29E-03,1.33E-04,1800,1.66E-05,6.35E-03,1.48E-11,0.2,50
4.00E+05,0.69,0.33,0.544,1.07E+03,2808,2.29E-03,1.33E-04,60,8.27E-06,6.35E-03,1.48E-11,0.2,50
4.00E+05,0.69,0.33,0.544,1.07E+03,2808,2.29E-03,1.33E-04,300,1.75E-05,6.35E-03,1.48E-11,0.2,50
4.00E+05,0.69,0.33,0.544,1.07E+03,2808,2.29E-03,1.33E-04,600,2.35E-05,6.35E-03,1.48E-11,0.2,50
4.00E+05,0.69,0.33,0.544,1.07E+03,2808,2.29E-03,1.33E-04,900,2.79E-05,6.35E-03,1.48E-11,0.2,50
4.00E+05,0.69,0.33,0.544,1.07E+03,2808,2.29E-03,1.33E-04,1200,3.12E-05,6.35E-03,1.48E-11,0.2,50
4.00E+05,0.69,0.33,0.544,1.07E+03,2808,2.29E-03,1.33E-04,1500,3.41E-05,6.35E-03,1.48E-11,0.2,50
4.00E+05,0.69,0.33,0.544,1.07E+03,2808,2.29E-03,1.33E-04,1800,3.67E-05,6.35E-03,1.48E-11,0.2,50
6.00E+05,0.74,0.31,0.516,1.08E+03,2808,2.29E-03,1.33E-04,60,9.07E-06,6.35E-03,1.48E-11,0.2,50
6.00E+05,0.74,0.31,0.516,1.08E+03,2808,2.29E-03,1.33E-04,300,1.95E-05,6.35E-03,1.48E-11,0.2,50
6.00E+05,0.74,0.31,0.516,1.08E+03,2808,2.29E-03,1.33E-04,600,2.69E-05,6.35E-03,1.48E-11,0.2,50
6.00E+05,0.74,0.31,0.516,1.08E+03,2808,2.29E-03,1.33E-04,900,3.21E-05,6.35E-03,1.48E-11,0.2,50
6.00E+05,0.74,0.31,0.516,1.08E+03,2808,2.29E-03,1.33E-04,1200,3.63E-05,6.35E-03,1.48E-11,0.2,50
6.00E+05,0.74,0.31,0.516,1.08E+03,2808,2.29E-03,1.33E-04,1500,3.99E-05,6.35E-03,1.48E-11,0.2,50
6.00E+05,0.74,0.31,0.516,1.08E+03,2808,2.29E-03,1.33E-04,1800,4.30E-05,6.35E-03,1.48E-11,0.2,50
8.00E+05,0.63,0.35,0.527,1.05E+03,2808,2.29E-03,1.33E-04,60,1.08E-05,6.35E-03,1.48E-11,0.2,50
8.00E+05,0.63,0.35,0.527,1.05E+03,2808,2.29E-03,1.33E-04,300,2.13E-05,6.35E-03,1.48E-11,0.2,50
8.00E+05,0.63,0.35,0.527,1.05E+03,2808,2.29E-03,1.33E-04,600,2.85E-05,6.35E-03,1.48E-11,0.2,50
8.00E+05,0.63,0.35,0.527,1.05E+03,2808,2.29E-03,1.33E-04,900,3.37E-05,6.35E-03,1.48E-11,0.2,50
8.00E+05,0.63,0.35,0.527,1.05E+03,2808,2.29E-03,1.33E-04,1200,3.80E-05,6.35E-03,1.48E-11,0.2,50
8.00E+05,0.63,0.35,0.527,1.05E+03,2808,2.29E-03,1.33E-04,1500,4.18E-05,6.35E-03,1.48E-11,0.2,50
8.00E+05,0.63,0.35,0.527,1.05E+03,2808,2.29E-03,1.33E-04,1800,4.51E-05,6.35E-03,1.48E-11,0.2,50
1.00E+06,0.60,0.37,0.524,1.06E+03,2808,2.29E-03,1.33E-04,60,1.07E-05,6.35E-03,1.48E-11,0.2,50
1.00E+06,0.60,0.37,0.524,1.06E+03,2808,2.29E-03,1.33E-04,300,2.21E-05,6.35E-03,1.48E-11,0.2,50
1.00E+06,0.60,0.37,0.524,1.06E+03,2808,2.29E-03,1.33E-04,600,2.91E-05,6.35E-03,1.48E-11,0.2,50
1.00E+06,0.60,0.37,0.524,1.06E+03,2808,2.29E-03,1.33E-04,900,3.47E-05,6.35E-03,1.48E-11,0.2,50
1.00E+06,0.60,0.37,0.524,1.06E+03,2808,2.29E-03,1.33E-04,1200,3.95E-05,6.35E-03,1.48E-11,0.2,50
1.00E+06,0.60,0.37,0.524,1.06E+03,2808,2.29E-03,1.33E-04,1500,4.35E-05,6.35E-03,1.48E-11,0.2,50
1.00E+06,0.60,0.37,0.524,1.06E+03,2808,2.29E-03,1.33E-04,1800,4.70E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,60,1.06E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,300,2.24E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,600,3.04E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,900,3.64E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,1200,4.15E-05,6.35E-03,1.48E-11,0.2,50
