yexp,mi,xexp,pf,meio
3.15E+07,8.910E-04,8.00E-03,997.05,50
6.30E+07,8.910E-04,1.25E-02,997.05,50
9.45E+07,8.910E-04,1.48E-02,997.05,50
1.26E+08,8.910E-04,1.73E-02,997.05,50
1.57E+08,8.910E-04,1.93E-02,997.05,50
1.89E+08,8.910E-04,2.06E-02,997.05,50
2.20E+08,8.910E-04,2.24E-02,997.05,50
1.57E+07,8.910E-04,7.27E-03,997.05,120
3.15E+07,8.910E-04,1.06E-02,997.05,120
6.30E+07,8.910E-04,1.46E-02,997.05,120
9.45E+07,8.910E-04,1.79E-02,997.05,120
1.26E+08,8.910E-04,2.10E-02,997.05,120
1.57E+08,8.910E-04,2.40E-02,997.05,120
